"year","month","content_type","events","dau","events_per_active_user"
2025,12,"wiki","3221","670","4.81"
2025,12,NULL,"8653","1776","4.87"
2025,NULL,"database","22432","4326","5.19"
2025,NULL,"page","7767","1559","4.98"
2025,NULL,"task_board","19928","3993","4.99"
2025,NULL,"wiki","30143","6009","5.02"
2025,NULL,NULL,"80270","15887","5.05"
NULL,1,"database","1421","289","4.92"
NULL,1,"page","503","113","4.45"
NULL,1,"task_board","1300","281","4.63"
NULL,1,"wiki","1878","415","4.53"
NULL,1,NULL,"5102","1098","4.65"
NULL,2,"database","1595","292","5.46"
NULL,2,"page","559","108","5.18"
NULL,2,"task_board","1469","303","4.85"
NULL,2,"wiki","2186","404","5.41"
NULL,2,NULL,"5809","1107","5.25"
NULL,3,"database","1842","367","5.02"
NULL,3,"page","699","148","4.72"
NULL,3,"task_board","1617","343","4.71"
NULL,3,"wiki","2389","491","4.87"
NULL,3,NULL,"6547","1349","4.85"
NULL,4,"database","2054","377","5.45"
NULL,4,"page","705","136","5.18"
NULL,4,"task_board","1790","339","5.28"
NULL,4,"wiki","2709","515","5.26"
NULL,4,NULL,"7258","1367","5.31"
NULL,5,"database","2224","469","4.74"
NULL,5,"page","769","149","5.16"
NULL,5,"task_board","2000","420","4.76"
NULL,5,"wiki","2996","556","5.39"
NULL,5,NULL,"7989","1594","5.01"
NULL,6,"database","2394","488","4.91"
NULL,6,"page","825","162","5.09"
NULL,6,"task_board","2152","413","5.21"
NULL,6,"wiki","3264","630","5.18"
NULL,6,NULL,"8635","1693","5.10"
NULL,7,"database","2537","489","5.19"
NULL,7,"page","959","196","4.89"
NULL,7,"task_board","2342","487","4.81"
NULL,7,"wiki","3595","740","4.86"
NULL,7,NULL,"9433","1912","4.93"
NULL,8,"database","2881","612","4.71"
NULL,8,"page","954","207","4.61"
NULL,8,"task_board","2499","499","5.01"
NULL,8,"wiki","3822","778","4.91"
NULL,8,NULL,"10156","2096","4.85"
NULL,9,"database","3063","586","5.23"
NULL,9,"page","1032","179","5.77"
NULL,9,"task_board","2694","520","5.18"
NULL,9,"wiki","4073","766","5.32"
NULL,9,NULL,"10862","2051","5.30"
NULL,10,"database","3197","617","5.18"
NULL,10,"page","1129","248","4.55"
NULL,10,"task_board","2894","582","4.97"
NULL,10,"wiki","4299","904","4.76"
NULL,10,NULL,"11519","2351","4.90"
NULL,11,"database","3484","626","5.57"
NULL,11,"page","1171","213","5.50"
NULL,11,"task_board","3029","600","5.05"
NULL,11,"wiki","4667","953","4.90"
NULL,11,NULL,"12351","2392","5.16"
NULL,12,"database","3701","736","5.03"
NULL,12,"page","1239","248","5.00"
NULL,12,"task_board","3196","668","4.78"
NULL,12,"wiki","4841","1014","4.77"
NULL,12,NULL,"12977","2666","4.87"
NULL,NULL,"database","30393","5948","5.11"
NULL,NULL,"page","10544","2107","5.00"
NULL,NULL,"task_board","26982","5455","4.95"
NULL,NULL,"wiki","40719","8166","4.99"
NULL,NULL,NULL,"108638","21676","5.01"
